episode,score,high_score,lives,steps,reward,reached_mid_checkpoint,completed_lap,epsilon
367,50,70,0,27,-597.0,True,False,0.06419
368,0,30,0,18,-696.0,False,False,0.06387
369,150,170,0,64,-342.0,True,True,0.06355
370,0,30,0,18,-696.0,False,False,0.06323
371,0,30,0,18,-696.0,False,False,0.06292
372,0,30,0,18,-696.0,False,False,0.0626
373,0,30,0,18,-696.0,False,False,0.06229
374,0,30,0,18,-696.0,False,False,0.06198
375,0,30,0,18,-696.0,False,False,0.06167
376,0,30,0,18,-696.0,False,False,0.06136
377,0,30,0,18,-696.0,False,False,0.06105
378,0,30,0,18,-696.0,False,False,0.06075
379,0,30,0,18,-696.0,False,False,0.06045
380,0,30,0,18,-695.0,False,False,0.06014
381,0,30,0,18,-696.0,False,False,0.05984
382,0,30,0,18,-696.0,False,False,0.05954
383,0,30,0,18,-696.0,False,False,0.05925
384,0,10,0,7,-696.0,False,False,0.05895
385,0,30,0,18,-696.0,False,False,0.05865
386,0,30,0,18,-696.0,False,False,0.05836
387,0,30,0,18,-696.0,False,False,0.05807
388,50,70,0,37,-602.0,True,False,0.05778
389,50,60,0,36,-598.0,True,False,0.05749
390,0,30,0,18,-696.0,False,False,0.0572
391,0,30,0,18,-695.0,False,False,0.05692
392,150,160,0,37,-326.0,True,True,0.05663
393,0,30,0,18,-696.0,False,False,0.05635
394,0,30,0,18,-694.0,False,False,0.05607
395,0,30,0,18,-696.0,False,False,0.05579
396,0,10,0,7,-696.0,False,False,0.05551
397,0,30,0,18,-696.0,False,False,0.05523
398,0,30,0,18,-696.0,False,False,0.05495
399,0,30,0,18,-695.0,False,False,0.05468
400,0,30,0,18,-696.0,False,False,0.05441
401,0,10,0,7,-696.0,False,False,0.05413
402,0,30,0,18,-696.0,False,False,0.05386
403,0,30,0,18,-696.0,False,False,0.05359
404,0,30,0,18,-696.0,False,False,0.05333
405,0,30,0,18,-696.0,False,False,0.05306
406,0,30,0,18,-694.0,False,False,0.05279
407,150,160,0,37,-327.0,True,True,0.05253
408,50,70,0,37,-602.0,True,False,0.05227
409,0,30,0,18,-696.0,False,False,0.05201
410,50,70,0,37,-600.0,True,False,0.05175
411,50,70,0,36,-598.0,True,False,0.05149
412,0,30,0,18,-696.0,False,False,0.05123
413,0,30,0,18,-696.0,False,False,0.05097
414,0,30,0,18,-696.0,False,False,0.05072
415,0,30,0,18,-696.0,False,False,0.05047
416,0,30,0,18,-696.0,False,False,0.05021
417,0,30,0,18,-696.0,False,False,0.04996
418,0,30,0,17,-695.0,False,False,0.04971
419,0,30,0,18,-696.0,False,False,0.04946
420,0,30,0,12,-695.0,False,False,0.04922
421,0,30,0,18,-696.0,False,False,0.04897
422,0,30,0,18,-696.0,False,False,0.04873
423,0,30,0,18,-696.0,False,False,0.04848
424,0,30,0,18,-695.0,False,False,0.04824
425,0,10,0,7,-696.0,False,False,0.048
426,100,110,0,30,-441.0,True,True,0.04776
427,50,60,0,36,-598.0,True,False,0.04752
428,0,30,0,18,-696.0,False,False,0.04728
429,50,70,0,37,-601.0,True,False,0.04705
430,0,30,0,18,-696.0,False,False,0.04681
431,0,30,0,18,-696.0,False,False,0.04658
432,0,30,0,18,-696.0,False,False,0.04634
433,0,30,0,18,-696.0,False,False,0.04611
434,0,30,0,18,-696.0,False,False,0.04588
435,0,30,0,18,-696.0,False,False,0.04565
436,0,30,0,18,-696.0,False,False,0.04542
437,0,30,0,18,-696.0,False,False,0.0452
438,0,30,0,18,-696.0,False,False,0.04497
439,0,30,0,18,-696.0,False,False,0.04475
440,0,30,0,18,-696.0,False,False,0.04452
441,0,30,0,18,-696.0,False,False,0.0443
442,0,30,0,18,-695.0,False,False,0.04408
443,50,70,0,36,-598.0,True,False,0.04386
444,0,30,0,18,-696.0,False,False,0.04364
445,0,30,0,18,-696.0,False,False,0.04342
446,0,30,0,24,-699.0,False,False,0.0432
447,0,30,0,18,-696.0,False,False,0.04299
448,0,30,0,18,-696.0,False,False,0.04277
449,0,30,0,18,-695.0,False,False,0.04256
450,50,70,0,37,-603.0,True,False,0.04234
451,0,30,0,18,-696.0,False,False,0.04213
452,0,30,0,18,-695.0,False,False,0.04192
453,0,30,0,18,-696.0,False,False,0.04171
454,50,60,0,36,-598.0,True,False,0.0415
455,0,30,0,18,-695.0,False,False,0.0413
456,0,30,0,18,-696.0,False,False,0.04109
457,0,30,0,18,-696.0,False,False,0.04088
458,0,30,0,18,-696.0,False,False,0.04068
459,0,30,0,18,-696.0,False,False,0.04048
460,0,30,0,18,-696.0,False,False,0.04027
461,0,30,0,18,-698.0,False,False,0.04007
462,0,30,0,18,-696.0,False,False,0.03987
463,0,30,0,18,-696.0,False,False,0.03967
464,150,160,0,37,-327.0,True,True,0.03948
465,0,30,0,18,-696.0,False,False,0.03928
466,0,30,0,18,-696.0,False,False,0.03908
467,0,30,0,18,-696.0,False,False,0.03889
468,0,20,0,18,-694.0,False,False,0.03869
469,0,30,0,18,-696.0,False,False,0.0385
470,0,30,0,18,-698.0,False,False,0.03831
471,0,30,0,12,-692.0,False,False,0.03811
472,0,30,0,18,-696.0,False,False,0.03792
473,0,30,0,18,-696.0,False,False,0.03773
474,0,30,0,18,-694.0,False,False,0.03755
475,0,30,0,18,-696.0,False,False,0.03736
476,0,30,0,18,-695.0,False,False,0.03717
477,0,30,0,18,-695.0,False,False,0.03698
478,0,30,0,18,-696.0,False,False,0.0368
479,50,70,0,37,-602.0,True,False,0.03662
480,0,30,0,18,-696.0,False,False,0.03643
481,0,30,0,18,-696.0,False,False,0.03625
482,0,30,0,18,-696.0,False,False,0.03607
483,0,30,0,18,-696.0,False,False,0.03589
484,0,10,0,7,-696.0,False,False,0.03571
485,50,70,0,18,-588.0,True,False,0.03553
486,50,70,0,36,-601.0,True,False,0.03535
487,0,30,0,18,-694.0,False,False,0.03518
488,0,30,0,18,-696.0,False,False,0.035
489,0,30,0,18,-696.0,False,False,0.03483
490,50,70,0,37,-602.0,True,False,0.03465
491,0,30,0,18,-696.0,False,False,0.03448
492,0,30,0,24,-699.0,False,False,0.03431
493,0,30,0,18,-696.0,False,False,0.03413
494,0,30,0,18,-696.0,False,False,0.03396
495,0,30,0,18,-696.0,False,False,0.03379
496,0,30,0,18,-696.0,False,False,0.03362
497,0,30,0,18,-696.0,False,False,0.03346
498,0,30,0,12,-692.0,False,False,0.03329
499,0,30,0,18,-696.0,False,False,0.03312
500,50,70,0,37,-601.0,True,False,0.03296
501,0,30,0,18,-696.0,False,False,0.03279
502,0,30,0,18,-696.0,False,False,0.03263
503,0,30,0,18,-696.0,False,False,0.03247
504,0,30,0,18,-696.0,False,False,0.0323
505,0,30,0,18,-696.0,False,False,0.03214
506,0,30,0,18,-696.0,False,False,0.03198
507,0,30,0,18,-696.0,False,False,0.03182
508,0,30,0,18,-694.0,False,False,0.03166
509,0,30,0,18,-696.0,False,False,0.0315
510,0,30,0,18,-696.0,False,False,0.03135
511,0,30,0,18,-696.0,False,False,0.03119
512,0,30,0,18,-696.0,False,False,0.03103
513,50,70,0,36,-601.0,True,False,0.03088
514,0,30,0,18,-696.0,False,False,0.03072
515,0,30,0,18,-696.0,False,False,0.03057
516,0,30,0,18,-696.0,False,False,0.03042
517,0,30,0,18,-695.0,False,False,0.03027
518,0,30,0,18,-696.0,False,False,0.03011
519,0,30,0,18,-696.0,False,False,0.03
520,0,30,0,18,-696.0,False,False,0.03
521,0,30,0,18,-698.0,False,False,0.03
522,0,30,0,18,-696.0,False,False,0.03
523,0,30,0,18,-696.0,False,False,0.03
524,0,30,0,18,-696.0,False,False,0.03
525,0,30,0,18,-696.0,False,False,0.03
526,0,30,0,18,-696.0,False,False,0.03
527,0,30,0,15,-693.0,False,False,0.03
528,0,30,0,18,-696.0,False,False,0.03
529,0,30,0,18,-696.0,False,False,0.03
530,50,70,0,36,-601.0,True,False,0.03
531,0,30,0,18,-696.0,False,False,0.03
532,0,30,0,18,-696.0,False,False,0.03
533,0,30,0,18,-696.0,False,False,0.03
534,0,30,0,18,-696.0,False,False,0.03
535,0,30,0,18,-696.0,False,False,0.03
536,0,30,0,18,-696.0,False,False,0.03
537,0,30,0,18,-695.0,False,False,0.03
538,50,70,0,18,-588.0,True,False,0.03
539,50,60,0,36,-598.0,True,False,0.03
540,0,30,0,24,-699.0,False,False,0.03
541,0,30,0,18,-696.0,False,False,0.03
542,0,30,0,18,-696.0,False,False,0.03
543,0,30,0,18,-696.0,False,False,0.03
544,0,30,0,18,-696.0,False,False,0.03
545,0,30,0,18,-696.0,False,False,0.03
546,50,80,0,72,-625.0,True,False,0.03
547,50,60,0,36,-598.0,True,False,0.03
548,0,30,0,18,-696.0,False,False,0.03
549,50,60,0,36,-598.0,True,False,0.03
550,0,30,0,18,-696.0,False,False,0.03
551,0,30,0,18,-696.0,False,False,0.03
552,0,30,0,18,-696.0,False,False,0.03
553,0,30,0,18,-696.0,False,False,0.03
554,0,30,0,18,-696.0,False,False,0.03
555,0,30,0,18,-696.0,False,False,0.03
556,0,30,0,18,-696.0,False,False,0.03
557,50,70,0,37,-603.0,True,False,0.03
558,0,30,0,18,-696.0,False,False,0.03
559,0,30,0,18,-696.0,False,False,0.03
560,0,30,0,18,-696.0,False,False,0.03
561,50,70,0,36,-600.0,True,False,0.03
562,0,30,0,18,-696.0,False,False,0.03
563,0,30,0,18,-696.0,False,False,0.03
564,50,60,0,36,-598.0,True,False,0.03
565,0,30,0,18,-696.0,False,False,0.03
566,0,30,0,18,-696.0,False,False,0.03
567,0,30,0,18,-696.0,False,False,0.03
568,0,30,0,18,-696.0,False,False,0.03
569,0,30,0,18,-696.0,False,False,0.03
570,0,30,0,18,-696.0,False,False,0.03
571,0,30,0,18,-696.0,False,False,0.03
572,0,30,0,18,-696.0,False,False,0.03
573,0,30,0,18,-695.0,False,False,0.03
574,0,30,0,18,-696.0,False,False,0.03
575,0,30,0,42,-722.0,False,False,0.03
576,0,30,0,18,-696.0,False,False,0.03
577,0,30,0,18,-695.0,False,False,0.03
578,0,30,0,18,-696.0,False,False,0.03
579,0,30,0,18,-696.0,False,False,0.03
